ID,Drink,Instructions
11007,Margarita,"Tequila(1 1/2 oz ), Triple sec(1/2 oz ), Lime juice(1 oz ), "
11118,Blue Margarita,"Tequila(1 1/2 oz ), Blue Curacao(1 oz ), Lime juice(1 oz ), Salt(Coarse ), "
17216,Tommy's Margarita,"Tequila(4.5 cl), Lime Juice(1.5 cl), Agave syrup(2 spoons), "
11000,Mojito,"Light rum(2-3 oz ), Lime(Juice of 1 ), Sugar(2 tsp ), Mint(2-4 ), "
15841,Mojito Extra,"Mint(1/2 handful ), Lemon juice(3 cl ), Dark rum(1/8 L Jamaican ), Club soda(1/8 L ), Angostura bitters(8 drops ), "
178358,Mango Mojito,"Lime(3), Mango(1 Fresh), Mint(Sprig), White Rum(200 ml), Ice(cubes), Soda Water(Top), Mango(Garnish with), "
