ID,Meal Name,Ingredients
29,Tajin® Michelada,"1 teaspoon chili-lime seasoning (such as Tajin®), ½  lime, cut into 2 wedges, ice as needed, ¾ teaspoon soy-based liquid seasoning (such as Maggi® Jugo), ¾ teaspoon Mexican-style hot sauce (such as Valentina®), 3 fluid ounces tomato and clam juice cocktail (such as Clamato®), 1 (12 fluid ounce) bottle light Mexican beer (such as Modelo®), "
30,A Michelada for All (Vegan and Gluten Free),"Sriracha salt as needed, ½ cup ice cubes, or as needed, 1 cup chilled tomato juice, 1 medium lime, juiced, ½ teaspoon vegan Worcestershire sauce, ¼ teaspoon smoked salt, ⅛ teaspoon celery seed, ⅛ teaspoon coarsely ground black pepper, 2 dashes aromatic bitters (such as Angostura), 1 dash hot pepper sauce (such as Tabasco), or to taste, 1 pinch habanero powder, 1 cup gluten-free beer, "
31,Homemade Coffee Creamer (Pumpkin Spice),"14 ounces heavy whipping cream, divided, ¼ cup maple syrup, 3 tablespoons pumpkin puree, 1 teaspoon pumpkin pie spice, 1 teaspoon vanilla extract, 1 (14 ounce) can sweetened condensed milk, "
32,Paleo and Vegan Pumpkin Spice Creamer,"1 (14 ounce) can coconut milk, 3 tablespoons pumpkin puree, 3 tablespoons maple syrup, 3 tablespoons flax milk, 1 teaspoon pumpkin pie spice, "
33,Homemade Irish Cream,"1 (14 ounce) can sweetened condensed milk, 1 ⅔ cups Irish whiskey, 1 cup heavy cream, 2 tablespoons chocolate syrup, 1 teaspoon instant coffee granules, 1 teaspoon vanilla extract, 1 teaspoon almond extract, "
34,Homemade Vanilla Coffee Creamer,"1 pint fat-free half-and-half, 1 (14 ounce) can fat-free sweetened condensed milk, 1 teaspoon cinnamon, 1 teaspoon vanilla extract, "
35,Homemade Cinnamon Coffee Creamer,"1 (14 ounce) can fat-free sweetened condensed milk, 1 ½ cups unsweetened plain almond milk, 2 teaspoons ground cinnamon, 1 teaspoon vanilla extract, 1 teaspoon almond extract, "
36,Homemade Amaretto Coffee Creamer,"1 cup milk, 1 cup heavy cream, ¾ cup white sugar, 2 teaspoons amaretto extract, 1 teaspoon vanilla extract, 1/4 teaspoon cinnamon extract, "
37,Peppermint Coffee Creamer,"¾ cup milk, ¼ cup heavy whipping cream, 2 tablespoons stevia powder, or to taste, 1 teaspoon vanilla extract, ½ teaspoon peppermint extract, or more to taste, "
38,Coconut Milk Coffee Creamer,"1 (14 ounce) can unsweetened coconut milk, 2 tablespoons pure maple syrup, 2 tablespoons vanilla extract, "
39,Banana Coffee Creamer,"1 (14 ounce) can sweetened condensed milk, 1 ¾ cups milk, 3  bananas, halved, "
40,French Vanilla Coffee Creamer,"1 (14 ounce) can sweetened condensed milk, 1 ¼ cups milk, 1 tablespoon vanilla extract, "
41,Sugar Cookie Coffee Creamer,"1 3/4 cups half-and-half, 1 (14 ounce) can sweetened condensed milk, 2 teaspoons vanilla extract, 1/2 teaspoon almond extract, 1/4 teaspoon kosher salt, "
42,Reverse Dalgona Iced Coffee,"1 tablespoon instant coffee granules, 1 tablespoon white sugar, 2 tablespoons water, 1/2 cup ice, 1/2 cup milk, "
43,Peppermint Mocha Coffee Creamer,"1 3/4 cups half-and-half, 1 (14 ounce) can sweetened condensed milk, 1 1/2 teaspoons vanilla extract, 1 teaspoon peppermint extract, 1 tablespoon cocoa powder, "
44,Iced Pistachio Latte,"1 tablespoon pistachio cream, 6 fluid ounces whole milk, ice, as needed, 2 shots espresso, "
45,Coffee Grounds Liqueur,"2/3 cup leftover coffee grounds, 2/3 cup brown sugar, 1 stick cinnamon stick, halved, 1/2 teaspoon vanilla bean paste, 2/3 cup boiling water, 2/3 cup white rum, "
46,Frozen Espresso Martini,"3 cups freshly brewed espresso, 1 cup simple syrup, 6 fluid ounces vanilla vodka, 6 fluid ounces coffee liqueur, such as Kahlúa®, 2 fluid ounces hazelnut liqueur, such as Frangelico®, black onyx cocoa powder, for dusting, "
47,Thai Iced Coffee,"ice as needed, 4 ounces milk, 2 shots espresso, 1/8 teaspoon cardamom, 2 tablespoons sweetened condensed milk, "
48,Cafe de Olla,"4 cups water, 1/3 cup grated piloncillo, or to taste, 1 stick Mexican cinnamon, 1/4 cup ground coffee, "
49,Starbucks Copycat Honey Oatmilk Latte,"3/4 cup oat milk, 2 tablespoons honey, or to taste, 1/2 cup hot coffee, 1/4 teaspoon ground cinnamon (optional), "
50,Cookie Butter Latte,"2 tablespoons cookie butter, 1/2 cup hot coffee, 1 teaspoon brown sugar, or to taste, 1 teaspoon vanilla extract, 3/4 cup hot milk, "
51,Easy Iced Coffee,"3 tablespoons warm water, 2 teaspoons instant coffee granules, 1 teaspoon sugar, 1 cup ice, or as needed, 6 fluid ounces cold milk, "
